Startup,URL,Business Description,Funding Stage, Total funding (US$),Venture Space,Opportunity Space 1,Founded,Country,Maturity
Three Spirit,https://threespiritdrinks.com/,Mission: show the world alcohol-free doesn’t mean pleasure-free. They’ve created plant-based alternatives to alcohol.,Undisclosed,,Drink,Euphoric drinks,2018,England,Distant
Brunswick Aces,https://brunswickaces.com/,"A premium, non alcoholic distillate.",Undisclosed,,Drink,Euphoric drinks,2017,Australia,Distant
Dame Products,https://www.dameproducts.com/,"Purpose's mission: to design well-engineered sex toys, to heighten intimacy, and to openly empower the sexual experiences of womankind.  They are trying to make the world a happier place.",Unfunded,,Play,Sex +,2014,USA,Emerging
Maude,https://getmaude.com/,"As a modern sexual wellness company built on quality, simplicity and inclusivity, they’re on a mission to change this outdated industry and make intimacy better for all people.",Seed,1500000,Play,Sex +,2017,USA,Distant
Navitas Naturals,https://navitasorganics.com,Navitas Naturals is a food & beverages company providing organic superfoods.,Undisclosed,,Boost,Instant Stress Relief,2003,USA,Existing
Naturalife Labs,https://www.naturalifelabs.net,Naturalife Labs is a company that produces supplements using organic herbs and plants.,Undisclosed,,Boost,Instant Stress Relief,2016,USA,Existing
GreeNatr,https://www.greenatr.com,"GreeNatr promotes overall wellness through natural energy vitamins and supplements, as well as weight management supplements and antioxidant capsules.",Undisclosed,,Boost,Energy consumables,2014,USA,Existing
Terrasoul Superfoods,https://www.terrasoul.com,"Terrasoul Superfoods is a producer of snacks, health supplements, fruits and coffee.",Undisclosed,,Boost,Energy consumables,2013,USA,Existing
NusaPure,https://www.nusapure.com/,NusaPure is a health nutrition company that distributes advanced dietary supplements.,Undisclosed,,Boost,Unlocking Probiotic,2016,USA,Emerging
Montgomery And Evelyn (M+E),https://www.montgomeryandevelyn.com,"Montgomery And Evelyn (M+E) is a company that produces supplements that enhance the mental health of customers. Their products include Happy Me, Mood Me, Calm Me and Energy Me.",Undisclosed,,Boost,Energy consumables,2018,England,Emerging
Kolonne Null GmbH,https://kolonnenull.com,"Kolonne Null has a focus on research and product development, its team specializes in the development of high quality alcohol free wines and sparkling wines.",Undisclosed,,Drink,Euphoric drinks,2018,Germany,Emerging
Wine Water,http://winewater.com,"Wine Water is the developer of O.VINE, a nonalcoholic beverage made from pure spring water and the natural ingredients of wine.",Undisclosed,,Drink,Euphoric drinks,2018,Israel,Distant
Tost Beverages,https://www.tostbeverages.com,"TÖST is a dry, sparkling beverage that provides the celebratory air of Champagne without the alcohol",Undisclosed,,Drink,Euphoric drinks,2014,USA,Emerging
Le PETIT Beret,https://www.lepetitberet.com/fr/,"Manufacturer of alcohol, sulphite, and pesticide-free low sugar wine like drinks made from grapes intended simply for the pleasure of the taste buds. The company offers a wide range of red and white wine like drinks available in different flavors, enabling consumers to enjoy with their family around a convivial meal without constraints.",Seed,750000,Drink,Euphoric drinks,2015,France,Emerging
Coolberg,https://coolberg.in,Coolberg is a non-alcoholic beer company.,Series A,3500000,Drink,Euphoric drinks,2016,India,Emerging
HyVIDA,https://www.hyvida.com/,"HyVIDA is the name of a new line of sparkling water that's infused with hydrogen to support the health of the brain and heart, as well as anxiety relief. HyVIDA's Hydrogen & Magnesium infusion delivers a unique Smooth Taste, Clarity, Calm, Gut Health & Workout Recovery.",Seed,53000,Boost,Instant Stress Relief,2016,USA,Emerging
Suja,https://www.sujajuice.com/,Suja Juice is now introducing an all-new organic kombucha that is fortified by functional adaptogenic ingredients. Adaptogenic ingredients are now being incorporated into a variety of food and beverage products for their incredible abilities to help people manage stress and fight fatigue.,Acquired,359000000,Boost,Instant Stress Relief,2012,USA,Existing
Teaonic,https://teaonic.com/collections/wellness-tea,"I Love My Adrenals' is the name of a beverage from Teaonic that's been crafted specifically for the upkeep of adrenal health.This functional beverage is said to increase the body's ability to cope with stress, while also alleviating fatigue and improving one's immune system, energy levels and stamina. ",Unfunded,,Boost,Instant Stress Relief,2012,USA,Existing
Rebbl,https://rebbl.co/,"Ayurvedic chai tea is a soothing, naturally sweet beverage. Adaptogens are now being integrated into on-the-go products to enrich them with stress-reducing and fatigue-fighting properties. ",Series B,33000000,Boost,Instant Stress Relief,2012,USA,Existing
Four Sigmatic,https://us.foursigmatic.com/,"The Mushroom Hot Cacao with Reishi also serves to balance hormones, improve sleep and serve as a flavorful anti-stress solution. ",Unfunded,,Boost,Instant Stress Relief,2012,USA,Existing
Sol-ti,https://solti.com/,"Sol-ti's Arctic Chaga Hotbrew Tea offers what the brand calls ""the king of medicinal mushrooms"" .Medicinal mushrooms can now be found in a range of food and beverage products for health, particularly because they are now coming into the spotlight as adaptogens, which promote balance and help the body better respond to stress.",Series A,5250000,Boost,Instant Stress Relief,2016,USA,Emerging
Raw & Juicy,https://www.raw-and-juicy.com/,"The beverages are positioned as detoxifying drinks that support the body's natural ability to cleanse itself, promising to help offset dietary and hormone imbalances, as well as the intake of toxins, alcohol, preservatives and more. ",Unfunded,,Boost,Instant Stress Relief,2006,England,Existing
Moon Juice,https://moonjuice.com/,"""Dusted lattes"",  these nourishing lattes featuring its Moon Dusts offer ways to regulate stress and ""nourish biochemistry."" ",Undisclosed,,Boost,Instant Stress Relief,2011,USA,Emerging
Down to Earth,https://drinkdowntoearth.com/,"Down To Earth Organics launched a collection of four ready-to-drink bottled ""supertea"" beverages that are packed with herbs and adaptogens to provide functional benefits. The new range includes drinks like Longevity, Revival, Energy and Tranquility, each of which supports a different purpose. ",Undisclosed,,Boost,Instant Stress Relief,2018,USA,Emerging
Sunwink,https://drinksunwink.com/,Sunwink Herbal Tonics is a beverage brand that aims to offer drinks that are nutritious and flavorful. ,Undisclosed,,Boost,Instant Stress Relief,2018,USA,Distant
Kalm & ON,https://kalm-on.com/,Kalm & ON' is a herbal beverage that is designed to support the body by managing both stress and energy at the same time. ,Unfunded,,Boost,Instant Stress Relief,2014,USA,Emerging
Top Shelf Beverages Inc.,www.cbotanicals.com ,"Purposeful ingredients included in the C Botanicals line also boast anti-microbial, stress-relieving and liver-cleansing properties from some of the most tried-and-true ancient healing remedies in the world.",Undisclosed,,Boost,Instant Stress Relief,2011,USA,Existing
Puraty,https://puraty.com/,"Medicinal, Organic, Herbal Teas. A natural way to solve minor to critical health challenges without any side-effects.",Unfunded,,Boost,Instant Stress Relief,2016,USA,Emerging
Juice Shots,http://www.juiceshots.com/,"As an alternative to making a solid supplement, Juice Shots launched 'The Best Stuff' as a fast-absorbing liquid to boost one's mood and energy.  As a result of taking The Best Stuff, consumers are said to feel more energized, focused and capable of tackling their daily tasks.",Undisclosed,,Boost,Instant Stress Relief,2018,USA,Emerging
Herbal Natural Drink,https://herbalnaturaldrink.com/,"Herbal Natural Drink is created to relax the body, soul and mind.",Undisclosed,,Boost,Instant Stress Relief,2017,Australia,Emerging
Roar Ambition,https://www.roarambition.com/uk/,"Roar Ambition is a company that sells premium sports supplements, workout guides and pre-workouts.",Undisclosed,,Boost,Mood boost,2014,England,Existing
anatomē,https://www.anatome.co,anatomē is a manufacturer of nutritional supplement and cosmetic care products.,Undisclosed,,Boost,Mood boost,2017,England,Existing
BrainZyme,https://www.brainzyme.com,"Better Nutritional Science produces BrainZyme, the UK's first legal cognitive enhancer brain food supplement.",Undisclosed,,Boost,Mood boost,2016,England,Emerging
Innermost,https://www.liveinnermost.com,Innermost uses the power of nutrition to create personalised solutions for your health and fitness needs.,Undisclosed,,Boost,Mood boost,2015,England,Existing
Nootropz,https://nootropz.co.uk,Nootropz produces four kinds of nootropic supplements.,Undisclosed,,Boost,Mood boost,2019,England,Distant
Mind lab pro,https://www.mindlabpro.com,Mind lab pro manufactures nootropic product,Undisclosed,,Boost,Mood boost,2015,England,Distant
Raw Powders,https://rawpowders.co.uk,"Raw Powders offers various types of products, helping to boost both mental and physical health condition and as a result afterwards – to improve people's general quality of life.",Undisclosed,,Boost,Mood boost,2014,England,Existing
KikBnB,https://www.kinkbnb.com/,"Kinkbnb, is an online accommodation marketplace for BNB's with sex positive environment. The platform enables users to list properties that have a ""kinky"" touch and rent it out to other users within the community. Users can also post requests for such BNB's in the location of their travel.",Undisclosed,,Play,Sex +,2015,USA,Emerging
CheekyChacha,https://www.cheekychacha.com/,"Vegan, gluten free and no preservatives oral sex lube that is also good for your teeth",Undisclosed,,Play,Sex +,2013,USA,Emerging
Lora Dicarlo,https://loradicarlo.com/,AWARD-WINNING ROBOTIC MASSAGER FOR HANDS-FREE BLENDED ORGASMS,Seed,3200000,Play,Sex +,2017,USA,Distant
Lioness,https://lioness.io/,Smart Vibrator for Better Orgasms,Undisclosed,,Play,Sex +,2013,USA,Existing
Einhorn,https://einhorn.my/einhorn-condoms/,einhorn is a internet-first brand of adult merchandised products. The company specializes in manufacturing organic condoms. It claims that the products are made of natural soap & rubber. The company also caters to B2B customers.,Undisclosed,,Play,Sex +,2015,Germany,Emerging
Crave,http://www.lovecrave.com/,Modern vibrators for women,Series B,5570000,Play,Sex +,2010,USA,Emerging
Fiji Kava,https://fijikava.com/,Fiji Kava provides a natural dietary supplement. The supplement contains extracts of Kava roots having Kavalactones from the Piper Methysticum plant. The supplement is meant for reducing stress.,Unfunded,,Boost,Mood boost,2013,Australia,Emerging
Root of Happiness Kava,https://rootofhappinesskava.com/,"FDA registered direct importer from kava farms in Vanuatu, Fiji, Hawaii, Samoa, Tonga and the Solomons. Creates powderised forms of kava.",Undisclosed,,Boost,Mood boost,2013,USA,Emerging
Lumie,https://www.lumie.com,"Lumie is a medical devices & equipment company that specialises in light therapy products. It also supplies NHS. Its SAD lights lift mood, boost concentration, restore natural energy and treat the symptoms of SAD.",Undisclosed,,Boost,Mood boost,2006,England,Emerging
Frasen,http://www.frasen.com/,Sleep mask to monitor sleep and improve sleep quality,Undisclosed,,Sleep,Naptime Boost,2010,South Korea,Emerging
Naptime,https://www.bestnaptime.com/home,"Naptime is a sleeping mask developed by Entertech. The mask uses an integrated dry EEG electrode to detect the brain activity and wakes up the user in their light sleep phase after 20 minutes of sleep. The device also has earphones which play music from the user's phone according to their mood and turns on white noise when the user falls asleep. Also, the app monitors user's brain activity and learns which songs help the user in improving their sleep quality.",Undisclosed,,Sleep,Naptime Boost,2014,China,Emerging
Klova,https://www.klova.com/,"Try Klova today, made with naturally occurring ingredients shown to promote restful sleep. alternative sleep aid contains n atural sleep-promoting, restlessness-ridding ingredients like melatonin, magnesium, valerian root, GABA, and hops that all work in harmony to reflect the complex biochemistry that occurs naturally in our bodies.",Undisclosed,,Play,Sex +,2018,USA,Emerging
Unbound,https://unboundbabes.com/,Unbound is a rebellious sexual wellness company for women.,Seed,"3,700,000",Play,Sex +,2014,USA,Emerging
Neccesaire,https://necessaire.com/products/the-sex-gel?variant=10871519346803,"Nécessaire develops a clean, effective, and high-quality ingredients of skincare for the body.",Undisclosed,,Play,Sex +,2018,USA,Emerging
Nipple,www.nipple.io,"Keep track of your sexual activities on Nipple, see how your performances evolve and win a trip to Las Vegas.",Undisclosed,,Play,Sex +,2014,USA,Emerging
Sticky Rice Love,https://www.stickyricelove.com/eng-home,Sticky Rice Love is a resource for young people to discuss and understand sexual health.,Undisclosed,,Play,Sex +,2015,China,Distant
Una Touch,www.unavibrators.com,Developing a range of vibrators with unique features and patented adaptive touch sensing tech.,Seed,"50,000",Play,Sex +,2013,USA,Emerging
CRAVE,https://www.lovecrave.com/,"Crave is a lifestyle brand that creates upscale, tech-savvy sex products such as vibrators.",Series B,"3,700,000",Play,Sex +,2010,USA,Emerging
Penile Guider,https://vator.tv/company/penile-guider,Penile Guider is a website for men searching for information and advice on sexual health and treatments for sexual dysfunction. There are many sexual enhancement products in the market and choosing a good and safe one can be tricky.,Undisclosed,,Play,Sex +,2012,USA,Emerging
Emjoy Barcelona,https://letsemjoy.com/,Emjoy is a Female-founded femtech startup helping you find sexual happiness & fulfilment thru guided audios.,Seed,"1,000,000",Play,Sex +,2018,Spain,Existing
Coral,https://getcoral.app/,Coral is an app designed to help you cultivate your sexuality and transform your relationship with sex.,Seed,,Play,Sex +,2018,USA,Emerging
Sharesome,https://sharesome.com/register/,"Sharesome is a social platform for adult models, brands, and fans kicked out from mainstream social networks. Grew organically to 700.000 users. Sex tech and sex industry",Undisclosed,,Play,Sex +,2017,Cyprus,Emerging
Rosy,www.meetrosy.com/,Sexual Wellness for Modern Women,Seed,"1,000,000",Play,Sex +,2017,USA,Emerging
MetroNaps,www.metronaps.com/,MetroNaps has developed innovative yet elegant solutions for different industries to restore and enhance their employees’ energy.,Undisclosed,,Sleep,Naptime Boost,2003,USA,Emerging
Nappify,www.nappify.com,Nappify provides mobile nap pods and complimentary amenities to ensure the best nap you ever dreamt of having.,Undisclosed,,Sleep,Naptime Boost,2016,USA,Existing
Napwell,napwell.com,Napwell helps you nap more efficiently and lead a more productive life.,Undisclosed,,Sleep,Naptime Boost,2013,USA,Emerging
"Pzizz - Sleep, Nap, Focus",pzizz.com/,"Pzizz delivers sleep at the push of a button! It's iOS and Android apps help you fall asleep fast, stay asleep and wake up refreshed.",Seed,"500,000",Sleep,Naptime Boost,2015,England,Distant
FraSen,www.frasen.com,"Lulleep is a comfortable mask that allows people have power nap, deep relaxation and deep sleep.",Seed,"637,000",Sleep,Naptime Boost,2010,South Korea,Existing
Thim,thim.io,"Thim is a wearable that tracks your sleep, re-trains your sleep so you fall asleep faster and gives you the perfect power nap.",Undisclosed,,Sleep,Naptime Boost,2017,USA,Emerging
